transaction_id,transaction_date,timestamp,description,merchant,amount,currency,payment_method,is_credit,category,is_amount_anomaly,is_frequency_anomaly,is_merchant_anomaly
TXN_202406_000001,2024-06-29,2024-06-29 17:05:37,limEriCK@credit*exCHangE|ReF@Eir:DeLiVEry_20240629 041902683106,EIR,41.86,EUR,CONTACTLESS,False,Bills,False,False,True
TXN_202406_000002,2024-06-04,2024-06-04 20:19:53,Dd/PENNEys;BILl*AuTH|EcOmmErce*REF/915699767#aUTH xpsEimvIhCW:TeRm:8026:bATcH,PENNEYS,103.46,EUR,CARD,False,Shopping,False,False,True
TXN_202406_000003,2024-06-21,2024-06-21 09:29:20,DD_bRunCHHouse:rEF.591828712236*ie,BRUNCH HOUSE,6.67,EUR,CARD,False,Food,False,False,True
TXN_202406_000004,2024-06-01,2024-06-01 05:47:59,pIn#APP@tRaNsFeR*IN:dELivery;LonDon;EcOMmerCe:FeE*PurchaSe#20240601.ref#05374918@autH-zA7tZ0/seQ,TRANSFER IN,641.99,EUR,ONLINE,False,Other,False,False,True
TXN_202406_000005,2024-06-14,2024-06-14 01:13:53,VXdP5Gjlq_iE recUrRinG@auTh CARd paYment/Term#sAmsUNg StorE|eXChAngE 2948470|CHIP,SAMSUNG STORE,386.05,EUR,TRANSFER,False,Shopping,False,False,True
TXN_202406_000006,2024-06-12,2024-06-12 15:35:33,Dd:DeBIt/App-pROpERTY mGMt|ORDer*Uk;ECOMmercE|apprOVED.tERminAl@12JuN24/rEF.6710243/teRM.1045618 DEbit,PROPERTY MGMT,122.47,EUR,ONLINE,False,Bills,False,False,True
TXN_202406_000007,2024-06-30,2024-06-30 09:28:56,MErcHaNt/pin#AUth#REf@loNDon|UX5QRL1N75_REf:rEcUrRinG@rEF.cArd|5882749582;ETsy 5882749582;5882749582.aPProved,ETSY,19.29,EUR,CONTACTLESS,False,Shopping,False,False,True
TXN_202406_000008,2024-06-16,2024-06-16 09:47:55,POS|in-sTORE;MedICal CLinIC_sUbscrIptiOn_maDrID*uS@RecuRriNg:Intl|cOmpLEtE-REF:340814,MEDICAL CLINIC,215.0,EUR,TRANSFER,False,Healthcare,False,False,True
TXN_202406_000009,2024-06-23,2024-06-23 03:54:41,So*ECoM#Sandwich Co@ORdeR_coRK;rEf/553136,SANDWICH CO,34.2,EUR,TRANSFER,False,Food,False,False,True
TXN_202406_000010,2024-06-06,2024-06-06 19:03:43,REf;Ie;StaNding oRDER@aUTH CaRd paYmenT:bATCH-appRoVed#pAYMENt;pEAl2w37d4i_aUth_5633744034#KioSK*NoRtH*outlet*irELand,NORTH OUTLET IRELAND,37.41,EUR,CARD,False,Food,False,False,True
